Depart Main/Bailey Lot,Depart Goodyear Hall,Depart Main Circle,Depart Parker Lot,Depart Buffalo General,Depart RPCI,Depart Center of Excellence,Depart EOC/Gateway,Depart JSMBMS,Depart CTRC
6:30,6:32,6:35,6:37,6:50,6:52,6:55,7:00,7:05,7:07
7:00,7:02,7:05,7:07,7:20,7:22,7:25,7:30,7:35,7:37
7:30,7:32,7:35,7:37,7:50,7:52,7:55,8:00,8:05,8:07
8:00,8:02,8:05,8:07,8:20,8:22,8:25,8:30,8:35,8:37
8:30,8:32,8:35,8:37,8:50,8:52,8:55,9:00,9:05,9:07
9:00,9:02,9:05,9:07,9:20,9:22,9:25,9:30,9:35,9:37
9:30,9:32,9:35,9:37,9:50,9:52,9:55,10:00,10:05,10:07
10:00,10:02,10:05,10:07,10:20,10:22,10:25,10:30,10:35,10:37
10:30,10:32,10:35,10:37,10:50,10:52,10:55,11:00,11:05,11:07
11:00,11:02,11:05,11:07,11:20,11:22,11:25,11:30,11:35,11:37
11:30,11:32,11:35,11:37,11:50,11:52,11:55,12:00,12:05,12:07
12:00,12:02,12:05,12:07,12:20,12:22,12:25,12:30,12:35,12:37
12:30,12:32,12:35,12:37,12:50,12:52,12:55,1:00,1:05,1:07
1:00,1:02,1:05,1:07,1:20,1:22,1:25,1:30,1:35,1:37
1:30,1:32,1:35,1:37,1:50,1:52,1:55,2:00,2:05,2:07
2:00,2:02,2:05,2:07,2:20,2:22,2:25,2:30,2:35,2:37
2:30,2:32,2:35,2:37,2:50,2:52,2:55,3:00,3:05,3:07
3:00,3:02,3:05,3:07,3:20,3:22,3:25,3:30,3:35,3:37
3:30,3:32,3:35,3:37,3:50,3:52,3:55,4:00,4:05,4:07
4:00,4:02,4:05,4:07,4:20,4:22,4:25,4:30,4:35,4:37
4:30,4:32,4:35,4:37,4:50,4:52,4:55,5:00,5:05,5:07
5:00,5:02,5:05,5:07,5:20,5:22,5:25,5:30,5:35,5:37
5:30,5:32,5:35,5:37,5:50,5:52,5:55,6:00,6:05,6:07
6:00,6:02,6:05,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
6:30,6:32,6:35,6:37,6:50,6:52,6:55,7:00,7:05,7:07
7:30,7:32,7:35,7:37,7:50,7:52,7:55,8:00,8:05,8:07
8:30,8:32,8:35,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,