Depart Creekside Village,Depart Moody Terrace (Ellicott),Depart South Lake Village (to Spine),Depart Alumni/Stadium,Depart Center For The Arts,Depart Lockwood,Depart Founder's/O'Brian,Depart Cooke/Hochstetter,Depart Natural Sciences Complex,Depart Flickinger Court,Depart Hadley Village,Depart Computing Center,Depart Lower Capen,Depart Student Union,Depart Lockwood,Depart Alumni/Stadium,Depart South Lake Village (to Ellicott),Depart Greiner Hall
7:30,7:35,7:40,7:42,7:44,7:45,7:50,7:51,7:52,8:00,8:05,8:07,8:08,8:10,8:11,8:13,8:15,8:18
8:20,8:25,8:30,8:32,8:34,8:35,8:40,8:41,8:42,8:50,8:55,8:57,8:58,9:00,9:01,9:03,9:05,9:08
9:10,9:15,9:20,9:22,9:24,9:25,9:30,9:31,9:32,9:40,9:45,9:47,9:48,9:50,9:51,9:53,9:55,9:58
10:00,10:05,10:10,10:12,10:14,10:15,10:20,10:21,10:22,10:30,10:35,10:37,10:38,10:40,10:41,10:43,10:45,10:48
10:50,10:55,11:00,11:02,11:04,11:05,11:10,11:11,11:12,11:20,11:25,11:27,11:28,11:30,11:31,11:33,11:35,11:38
11:40,11:45,11:50,11:52,11:54,11:55,12:00,12:01,12:02,12:10,12:15,12:17,12:18,12:20,12:21,12:23,12:25,12:28
12:30,12:35,12:40,12:42,12:44,12:45,12:50,12:51,12:52,1:00,1:05,1:07,1:08,1:10,1:11,1:13,1:15,1:18
1:20,1:25,1:30,1:32,1:34,1:35,1:40,1:41,1:42,1:50,1:55,1:57,1:58,2:00,2:01,2:03,2:05,2:08
2:10,2:15,2:20,2:22,2:24,2:25,2:30,2:31,2:32,2:40,2:45,2:47,2:48,2:50,2:51,2:53,2:55,2:58
3:00,3:05,3:10,3:12,3:14,3:15,3:20,3:21,3:22,3:30,3:35,3:37,3:38,3:40,3:41,3:43,3:45,3:48
3:50,3:55,4:00,4:02,4:04,4:05,4:10,4:11,4:12,4:20,4:25,4:27,4:28,4:30,4:31,4:33,4:35,4:38
4:40,4:45,4:50,4:52,4:54,4:55,5:00,5:01,5:02,5:10,5:15,5:17,5:18,5:20,5:21,5:23,5:25,5:28
5:30,5:35,5:40,5:42,5:44,5:45,5:50,5:51,5:52,6:00,6:05,6:07,6:08,6:10,6:11,6:13,6:15,6:18
6:20,6:25,6:30,6:32,6:34,6:35,6:40,6:41,6:42,6:50,6:55,6:57,6:58,7:00,7:01,7:03,7:05,7:08
7:10,7:15,7:20,7:22,7:24,7:25,7:30,7:31,7:32,7:40,7:45,7:47,7:48,7:50,7:51,7:53,7:55,7:58
8:00,8:05,8:10,8:12,8:14,8:15,8:20,8:21,8:22,8:30,8:35,8:37,8:38,8:40,8:41,8:43,8:45,8:48
8:50,8:55,9:00,9:02,9:04,9:05,9:10,9:11,9:12,9:20,9:25,9:27,9:28,9:30,9:31,9:33,9:35,9:38
9:40,9:45,9:50,9:52,9:54,9:55,10:00,10:01,10:02,10:10,10:15,10:17,10:18,10:20,10:21,10:23,10:25,10:28
10:30,10:35,10:40,10:42,10:44,10:45,10:50,10:51,10:52,11:00,11:05,11:07,11:08,11:10,11:11,11:13,11:15,11:18
11:20,11:25,11:30,11:32,11:34,11:35,11:40,11:41,11:42,11:50,11:55,11:57,11:58,12:00,12:01,12:03,12:05,12:08
12:10,12:15,12:20,12:22,12:24,12:25,12:30,12:31,12:32,12:40,12:45,12:47,12:48,12:50,12:51,12:53,12:55,12:58
1:00,1:05,1:10,1:12,1:14,1:15,1:20,1:21,1:22,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup